交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1409,50140,51200,48900,48900,-1210,7690,-52274,49030,132124,3298208.75
cu1410,49830,51490,48210,48920,-860,37070,-145434,48870,1297626,32085232.58
cu1411,49610,50990,47710,48440,-1130,141652,-50708,48490,6849200,167121709.1
cu1412,49470,50780,47290,48030,-1400,259162,157268,48040,3657776,87948098.94
cu1501,49400,50620,47000,47790,-1520,88106,65700,47810,663128,15862282.74
cu1502,49490,50510,46870,47630,-1610,25738,18456,47690,78220,1868166.52
cu1503,49450,50370,46800,47550,-1710,8980,5608,47610,15376,367397.9
cu1504,49310,49880,46710,47460,-1780,5884,2758,47570,9666,230320.61
cu1505,49500,50150,46610,47370,-1810,5078,1906,47570,8078,192498.51
cu1506,49450,49790,46710,47400,-1780,2648,558,47510,3068,73325.9
cu1507,49440,50210,46690,47320,-1840,1246,512,47470,2566,61352.65
cu1508,49290,49610,46650,47310,-1810,1242,1026,47370,2878,68788.62
cu1509,47530,49080,46580,47290,47290,756,756,47370,1356,32052.38
cu小计, ,51490,46580, , ,585252,6132, ,12721062,309209435.2
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1409,14540,15040,14335,14385,-110,20950,-13690,14390,53650,394997.65
al1410,14550,15020,13865,13975,-515,26520,-78868,14040,435636,3181540.86
al1411,14560,15010,13510,14005,-500,64850,-88216,14050,3186798,23161939.58
al1412,14525,14970,13895,14015,-480,145956,55572,14060,1010146,7261442.97
al1501,14560,14910,13655,14000,-490,73510,32286,14045,290546,2085551.49
al1502,14530,14875,13865,13975,-520,25978,8690,14045,49152,353167.05
al1503,14550,14825,13880,13965,-520,17102,9630,14050,26686,191866.04
al1504,14580,14830,13885,13980,-535,3024,2298,14030,6034,42862.73
al1505,14590,14845,13885,13985,-545,2502,2060,14040,6004,42791.77
al1506,14560,14860,13950,13970,-570,502,170,13970,404,2949.62
al1507,14615,14850,13940,14115,-360,74,4,14095,308,2233.74
al1508,14580,14825,13950,14045,-455,26,22,14045,190,1367.91
al1509,14395,14395,14050,14050,14050,4,4,14050,8,56.83
al小计, ,15040,13510, , ,380998,-70038, ,5065562,36722768.21
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1409,16690,17190,16160,16260,-470,9620,-12390,16230,38040,318737.35
zn1410,16725,17275,15855,16850,175,12548,-104724,16725,784390,6547496.83
zn1411,16795,17330,15855,16810,85,81094,-163254,16650,10764944,88773139.64
zn1412,16805,17350,15880,16800,35,159810,91846,16655,3811454,31363594.99
zn1501,16845,17390,15895,16790,5,59872,45572,16670,651342,5359594.53
zn1502,16845,17405,15910,16740,-60,4968,4638,16665,14710,120171.28
zn1503,16890,17395,15980,16840,-10,214,112,16670,784,6474.98
zn1504,16950,17350,16020,16775,-85,58,-6,16715,130,1083.42
zn1505,16985,17495,16000,16765,-150,418,192,16725,2378,19851.67
zn1506,16960,17370,15965,16825,-110,86,20,16605,304,2538.96
zn1507,16980,17685,16070,16860,35,60,12,16890,316,2626.71
zn1508,17005,17585,16100,16855,-100,78,56,16830,338,2845.67
zn1509,16485,16860,16130,16860,16860,52,52,16860,122,1001.59
zn小计, ,17685,15855, , ,328878,-137874, ,16069252,132519157.6
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1410,255,255,239.7,240.25,-15.75,66,-20,240.2,298,7370.96
au1411,252.65,263.9,239.05,242.45,-12.15,10,10,242.45,208,5224.36
au1412,256.15,256.85,239.35,242.85,-13.9,180926,-19768,243.15,3061390,75323720.49
au1502,257.05,257.05,240.55,243.65,-13.8,50,-18,243.95,468,11486.88
au1504,255.45,255.45,241.6,243.65,-13.3,70,-26,243.9,148,3636.9
au1506,257.85,258,240.45,243.5,-14.75,15092,13110,243.95,29316,719742.65
au1508,246.3,246.3,246.3,245.8,245.8,2,2,245.8,2,49.26
au小计, ,263.9,239.05, , ,196216,-6710, ,3091830,76071231.5
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1409,2830,2880,2650,2805,-25,1020,-120,2805,1260,3531.9
rb1410,2890,2890,2450,2452,-439,22924,-153262,2502,608454,1650566.78
rb1411,2854,2854,2460,2479,-396,3508,2678,2511,27356,71261.89
rb1412,2861,2864,2480,2480,-388,2370,-1212,2508,9054,24020.62
rb1501,2943,2943,2519,2532,-408,2660780,265800,2546,102249402,277778581.8
rb1502,2888,2891,2500,2514,-374,6406,2530,2527,18422,49513.93
rb1503,2885,2895,2420,2531,-362,1200,-1096,2553,3838,10511.56
rb1504,2947,2960,2512,2554,-402,624,-178,2566,1860,5042.97
rb1505,2958,2963,2535,2557,-402,880952,325640,2563,7540988,20581424.76
rb1506,2929,2953,2517,2549,-409,1286,1242,2555,3086,8081.14
rb1507,2960,2960,2574,2583,-372,232,170,2593,444,1240.1
rb1508,2960,2992,2605,2625,-346,80,74,2625,276,778.62
rb1509,2920,2920,2586,2609,2609,298,298,2622,956,2575.9
rb小计, ,2992,2420, , ,3581680,442564, ,110465396,300187132
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr1410,3019,3019,2584,2650,-464,0,-6,2728,18,49.73
wr1412, , , ,2930,-87,4,0,2930,0,0
wr1501,3047,3102,2919,3014,-46,6,2,3014,40,120.22
wr1502, , , ,2980,-161,4,0,2980,0,0
wr1503,2742,2742,2660,2800,-35,0,-2,2800,4,10.8
wr1504, , , ,2962,-40,8,0,2962,0,0
wr小计, ,3102,2584, , ,22,-6, ,62,180.75
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu1411,3283,3283,2974,3087,-43,2,0,3087,14,223.25
fu1412,3065,3065,2969,2989,58,4,0,2989,6,90.03
fu1501,3528,3528,2702,2838,-523,10,4,2838,24,371.02
fu1505,3005,3251,2809,2980,123,118,6,2980,86,1311.47
fu1509,2906,3527,2884,2991,2991,6,6,2991,32,487.34
fu小计, ,3528,2702, , ,140,16, ,162,2483.11
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:天然橡胶,,,,,,,,,,
ru1409,12655,12700,11450,11775,-885,5014,-12132,11665,29784,361722.66
ru1410,12835,12835,10405,10700,-2135,476,-352,10935,1822,21119.06
ru1411,12900,12965,10210,10815,-2095,14300,-2570,11020,93936,1099760.39
ru1501,14535,14575,11710,12220,-2270,198674,-70912,12400,11044870,145287471.1
ru1503,14660,14715,11945,12440,-2245,546,-484,12585,4786,64191.99
ru1504,14675,14675,12155,12590,-2140,10,-12,12655,142,1908.76
ru1505,14945,15000,12090,12630,-2285,63346,21476,12760,1421182,19021424.76
ru1506,14860,15020,12415,12760,-2275,34,6,12880,272,3672.43
ru1507,15070,15070,12335,12850,-2210,174,-58,12850,784,10445.61
ru1508,15000,15165,12430,12990,-2305,14,12,12990,78,1069.99
ru1509,14360,14470,12495,13040,13040,6198,6198,13170,23998,314004.16
ru小计, ,15165,10210, , ,288786,-58828, ,12621654,166186790.9
总计, , , , , ,6094302,256320, ,178936382,1131875491
注： 1、报价单位：铜、铝、锌、铅、镍、锡、螺纹钢、线材、热轧卷板、天然橡胶、燃料油、石油沥青、纸浆、不锈钢为元/吨；黄金为元/克；白银为元/千克；原油为元(人民币)/桶（交易报价为不含税价格）；20号胶为元（人民币）/吨（交易报价为不含税价格）。 2、交易单位：铜、铝、锌、铅、不锈钢为5吨/手；镍、锡为1吨/手；螺纹钢、线材、热轧卷板、石油沥青、天然橡胶、20号胶、纸浆为10吨/手；燃料油为10吨/手；黄金为1000克/手；白银为15千克/手；原油为1000桶/手。 3、成交量、持仓量、持仓变化单位为手，双边计算；成交金额单位为万元，双边计算。 4、涨跌=本月收盘价-上月收盘价。 5、小计和总计中不包括efp品种。 ,,,,,,,,,,
上海期货交易所期货价格指数,,,,,,,,,,
指数名,月开盘价,月最高价,月最低价,月收盘价,月涨跌点数,,,,,
上期有色金属指数,2838.15,2891.26,2705.97,2752.41,-82.57,,,,,
注： 1、涨跌点数以上月收盘价为基准。 指数免责声明： 1、本文件涉及所有信息，包括但不限于所有的文字、数据、图表、表格、计算方式（以下统称为“信息”）属于上海期货交易所的财产，受中国知识产权法等相关法律保护。这些信息仅供参考之用。 2、本文件涉及任何信息被确认为来源可靠，但只供相关知晓所用，非为特定个人、公司或者其他组织提供。本文任何信息，或者包含上述信息的其他内容均不构成上海期货交易所对任何期货、其他金融产品或投资工具或任何交易策略的依据或建议，而且上海期货交易所及其关联方均未认可、同意或以其他方式表示关于任何期货公司、期货、其他金融产品或投资工具或交易策略的意见。投资者在作出一项投资决定时，应该充分考虑到投资的风险，并且了解投资相关的所有程序及所涉文件，而不是基于本文的陈述。 3、上海期货交易所不保证所有信息的精确性、完整性，并且对所有信息在编制、发布等过程涉及的计算错误、漏发或者发布中断不承担任何责任，不明示或者暗示使用本文中的信息，不保证使用本文信息的适用性。当信息被认为是可适用的，对任何因直接或间接使用本文中任何信息而造成的任何索赔或者损失，包括但不限于因有关内容不准确、不完整等而导致的利息损失、惩罚性或者间接性损失，上海期货交易所无须承担任何法律责任。 上海期货交易所 所有权保留,,,,,,,,,,
