date,CPI
2015年12月,101.6
2015年11月,101.5
2015年10月,101.3
2015年9月,101.6
2015年8月,102
2015年7月,101.6
2015年6月,101.4
2015年5月,101.2
2015年4月,101.5
2015年3月,101.4
2015年2月,101.4
2015年1月,100.8
2014年12月,101.5
2014年11月,101.4
2014年10月,101.6
2014年9月,101.6
2014年8月,102
2014年7月,102.3
2014年6月,102.3
2014年5月,102.5
2014年4月,101.8
2014年3月,102.4
2014年2月,102
2014年1月,102.5
2013年12月,102.5
2013年11月,103
2013年10月,103.2
2013年9月,103.1
2013年8月,102.6
2013年7月,102.7
2013年6月,102.7
2013年5月,102.1
2013年4月,102.4
2013年3月,102.1
2013年2月,103.2
2013年1月,102
2012年12月,102.5
2012年11月,102
2012年10月,101.7
2012年9月,101.9
2012年8月,102
2012年7月,101.8
2012年6月,102.2
2012年5月,103
2012年4月,103.4
2012年3月,103.6
2012年2月,103.2
2012年1月,104.5
2011年12月,104.1
2011年11月,104.2
2011年10月,105.5
2011年9月,106.1
2011年8月,106.2
2011年7月,106.5
2011年6月,106.4
2011年5月,105.5
2011年4月,105.3
2011年3月,105.4
2011年2月,104.9
2011年1月,104.9
2010年12月,104.6
2010年11月,105.1
2010年10月,104.4
2010年9月,103.6
2010年8月,103.5
2010年7月,103.3
2010年6月,102.9
2010年5月,103.1
2010年4月,102.8
2010年3月,102.4
2010年2月,102.7
2010年1月,101.5
