"date","Aluminum","Cathode_Copper","Fuel_Oil","Gold","LLDPE","Natural_Rubber","Palm_Oil","PVC","Rebar","Soybean_Meal","Soybean_Oil","Soybeans_No_1","Soybeans_No_2","Wire_Rod","Yellow_Corn","Zinc"
2009-01-01,59553.0256164047,134794.632090358,28754.3239175245,184357.258554906,NA,62416.271444875,NA,NA,NA,NA,NA,NA,NA,NA,NA,54352.6387573139
2009-02-01,59215.7797998231,138061.945881103,30355.2720321753,206516.239576783,NA,65682.387679286,NA,NA,NA,NA,NA,NA,NA,NA,NA,51810.7783881317
2009-03-01,61917.1901294166,155954.144267905,30889.3833048718,204479.348469746,NA,65166.1691224679,NA,NA,35669.2705824459,NA,NA,NA,NA,34119.0777694779,NA,55012.3885411176
2009-04-01,64217.4902876288,183529.500412385,33702.908660823,196775.881972873,NA,73313.7940338223,NA,NA,35394.6469279634,NA,NA,NA,NA,34108.6666940153,NA,62989.0682062024
2009-05-01,64070.3252964815,184603.614154172,35799.2613716865,202972.430183084,NA,75904.6838480898,NA,NA,36201.2032037695,NA,NA,NA,NA,35235.5025026427,NA,64344.0389921244
2009-06-01,66620.246988701,199611.94627046,37477.5028232865,208432.828236587,NA,76693.4087746458,NA,NA,38353.6282683844,NA,NA,NA,NA,37397.8318209927,NA,67345.6151360509
2009-07-01,71485.6378926908,208332.162377252,37459.8822928694,205264.078463041,NA,82502.9891503254,NA,NA,42069.9770220245,NA,NA,NA,NA,40132.1535056017,NA,68126.28481632
2009-08-01,75343.3120186348,241452.692241154,40576.8895775472,208759.182884072,NA,93700.9252159982,NA,NA,44598.6080081048,NA,NA,NA,NA,42969.6471636637,NA,75551.3245721689
2009-09-01,74620.4224059519,242448.973810985,39677.0094453461,220827.539374647,NA,88190.3846070739,NA,NA,39569.4325065735,NA,NA,NA,NA,38043.093047301,NA,76465.0887320069
2009-10-01,75819.8303333872,250357.879743484,40759.4299456756,231403.918353524,NA,95111.8774941646,NA,NA,38394.226070931,NA,NA,NA,NA,36858.7233358776,NA,82721.4194667451
2009-11-01,77408.285442163,264169.451127189,42362.93519064,251034.084518767,NA,104175.573266007,NA,NA,41281.9041967905,NA,NA,NA,NA,38619.044601364,NA,88247.6629748462
2009-12-01,82311.1006308359,280457.157201118,43445.5442992316,251846.727807073,NA,113568.066199769,NA,NA,43612.769550548,NA,NA,NA,NA,40444.7120848592,NA,96619.8652048699
2010-01-01,88041.5033508478,300888.718254461,46063.3655091163,249731.404632229,60303.6979196703,123984.907968829,69506.8958585084,38818.6411067567,44411.6922282568,29548.0364334457,76186.4118358758,39759.3839540078,41044.776119403,42078.5376344086,18913.4457750277,102538.642713168
2010-02-01,82602.5295697173,276564.939190563,44284.2171622228,242560.317676218,57608.2629573372,117981.524463028,67679.0417897499,37342.41813058,42694.884664716,27841.7922699035,73584.3920978361,37964.670034014,38903.6251105217,39991.460920933,18555.7039335441,89062.1928049055
2010-03-01,83811.9299454447,300332.077541855,45966.118613881,247340.966048033,56902.2440274414,120765.882921256,69325.8442432136,37806.4497582898,46701.8559014314,28109.6824879759,75278.4377992917,38544.5439337569,39735.0993377483,42294.3690418484,18983.2739305187,93718.5751595869
2010-04-01,83761.6588340153,306970.559519565,47400.3378763215,253082.594109914,58219.1697716146,124007.472927962,69583.1548952586,39544.6375074895,47589.1525800501,28803.0718990072,77789.6720943703,39428.572896077,40142.72970562,44836.3210818308,19186.5029679818,96109.8447967425
2010-05-01,77323.327706835,275226.486235383,45007.3210848154,265323.901815136,53049.1202588917,110967.535533716,67035.6175397083,37455.0088891087,43531.5133438675,28675.0063359491,76265.2938323074,39212.2684587112,39325.8426966292,42298.3019679956,19440.0984614602,80958.5487606989
