date,1_year
2009-12-01,1.4841
2009-12-02,1.486
2009-12-03,1.48
2009-12-04,1.478
2009-12-07,1.4793
2009-12-08,1.4844
2009-12-09,1.485
2009-12-10,1.4855
2009-12-11,1.4948
2009-12-14,1.4882
2009-12-15,1.4863
2009-12-16,1.4859
2009-12-17,1.4897
2009-12-18,1.4907
2009-12-21,1.4853
2009-12-22,1.4868
2009-12-23,1.4855
2009-12-24,1.489
2009-12-25,1.5
2009-12-28,1.4986
2009-12-29,1.5012
2009-12-30,1.5013
2009-12-31,1.4953
2010-01-04,1.5
2010-01-05,1.5098
2010-01-06,1.5238
2010-01-07,1.5489
2010-01-08,1.5411
2010-01-11,1.533
2010-01-12,1.5589
2010-01-13,1.6139
2010-01-14,1.6039
2010-01-15,1.6019
2010-01-18,1.6069
2010-01-19,1.5968
2010-01-20,1.5651
2010-01-21,1.5994
2010-01-22,1.6066
2010-01-25,1.6147
2010-01-26,1.6346
2010-01-27,1.6346
2010-01-28,1.6446
2010-01-29,1.6529
2010-02-01,1.6445
2010-02-02,1.6446
2010-02-03,1.6446
2010-02-04,1.6447
2010-02-05,1.6532
2010-02-08,1.6447
2010-02-09,1.6448
2010-02-10,1.6447
2010-02-11,1.6547
2010-02-12,1.66
2010-02-20,1.6793
2010-02-21,1.6793
2010-02-22,1.68
2010-02-23,1.6801
2010-02-24,1.6801
2010-02-25,1.6801
2010-02-26,1.6294
2010-03-01,1.6094
2010-03-02,1.5396
2010-03-03,1.5
2010-03-04,1.51
2010-03-05,1.5203
2010-03-08,1.5105
2010-03-09,1.5106
2010-03-10,1.5364
2010-03-11,1.5274
2010-03-12,1.5378
2010-03-15,1.528
2010-03-16,1.5281
2010-03-17,1.5281
2010-03-18,1.5181
2010-03-19,1.5185
2010-03-22,1.5083
2010-03-23,1.5175
2010-03-24,1.5176
2010-03-25,1.5076
2010-03-26,1.5181
2010-03-29,1.5076
2010-03-30,1.5301
2010-03-31,1.5501
2010-04-01,1.5782
2010-04-02,1.5947
2010-04-06,1.6
2010-04-07,1.62
2010-04-08,1.64
2010-04-09,1.6709
2010-04-12,1.66
2010-04-13,1.6551
2010-04-14,1.6503
2010-04-15,1.6504
2010-04-16,1.6607
2010-04-19,1.6394
2010-04-20,1.6393
2010-04-21,1.6193
2010-04-22,1.6392
2010-04-23,1.63
2010-04-26,1.6181
2010-04-27,1.5991
2010-04-28,1.5792
2010-04-29,1.5792
2010-04-30,1.5892
2010-05-04,1.61
2010-05-05,1.6099
2010-05-06,1.6435
2010-05-07,1.6568
2010-05-10,1.6611
2010-05-11,1.6911
2010-05-12,1.7086
2010-05-13,1.711
2010-05-14,1.7434
2010-05-17,1.7468
2010-05-18,1.7464
2010-05-19,1.7681
2010-05-20,1.7689
2010-05-21,1.7827
2010-05-24,1.8
2010-05-25,1.7947
2010-05-26,1.8388
2010-05-27,1.8327
2010-05-28,1.8298
2010-05-31,1.8162
2010-06-01,1.8391
2010-06-02,1.8175
2010-06-03,1.8176
2010-06-04,1.8341
2010-06-07,1.8643
2010-06-08,1.8723
2010-06-09,1.8726
2010-06-10,1.866
2010-06-11,2.016
2010-06-12,2.007
2010-06-13,2.0168
2010-06-17,2.0288
2010-06-18,2.1036
2010-06-21,2.1201
2010-06-22,2.126
2010-06-23,2.127
2010-06-24,2.1297
2010-06-25,2.1395
2010-06-28,2.1115
2010-06-29,2.122
2010-06-30,2.1346
2010-07-01,2.121
2010-07-02,2.1181
2010-07-05,2.1233
2010-07-06,2.1167
2010-07-07,2.0571
2010-07-08,2.0385
2010-07-09,2.0185
2010-07-12,1.9845
2010-07-13,1.9245
2010-07-14,1.8745
2010-07-15,1.8855
2010-07-16,1.8771
2010-07-19,1.8951
2010-07-20,1.9011
2010-07-21,1.8768
2010-07-22,1.9302
2010-07-23,1.9349
2010-07-26,1.9578
2010-07-27,1.9352
2010-07-28,1.9306
2010-07-29,1.931
2010-07-30,1.9318
2010-08-02,1.9327
2010-08-03,1.9333
2010-08-04,1.9307
2010-08-05,1.9295
2010-08-06,1.9056
2010-08-09,1.9116
2010-08-10,1.9118
2010-08-11,1.9125
2010-08-12,1.9129
2010-08-13,1.9206
2010-08-16,1.9334
2010-08-17,1.9344
2010-08-18,1.9358
2010-08-19,1.9412
2010-08-20,1.9194
2010-08-23,1.9225
2010-08-24,1.8928
2010-08-25,1.8795
2010-08-26,1.91
2010-08-27,1.9005
2010-08-30,1.9023
2010-08-31,1.9163
2010-09-01,1.9086
2010-09-02,1.9001
2010-09-03,1.9161
2010-09-06,1.9161
2010-09-07,1.9222
2010-09-08,1.9263
2010-09-09,1.9267
2010-09-10,1.9123
2010-09-13,1.8949
2010-09-14,1.9017
2010-09-15,1.9027
2010-09-16,1.9176
2010-09-17,1.9335
2010-09-19,1.9346
2010-09-20,1.9268
2010-09-21,1.9311
2010-09-25,1.9341
2010-09-26,1.9347
2010-09-27,1.9456
2010-09-28,1.9462
2010-09-29,1.9442
2010-09-30,1.9459
2010-10-08,1.9493
2010-10-09,1.9498
2010-10-11,1.937
2010-10-12,1.9397
2010-10-13,1.9386
2010-10-14,1.9389
2010-10-15,1.9337
2010-10-18,1.9429
2010-10-19,1.9515
2010-10-20,2.0801
2010-10-21,2.062
2010-10-22,2.0504
2010-10-25,2.0482
2010-10-26,2.0487
2010-10-27,2.0454
2010-10-28,2.047
2010-10-29,2.043
2010-11-01,2.0448
2010-11-02,2.0564
2010-11-03,2.0574
2010-11-04,2.1074
2010-11-05,2.0843
2010-11-08,2.0746
2010-11-09,2.1101
2010-11-10,2.1928
2010-11-11,2.2288
2010-11-12,2.251
2010-11-15,2.2731
2010-11-16,2.2282
2010-11-17,2.2186
2010-11-18,2.3037
2010-11-19,2.3148
2010-11-22,2.43
2010-11-23,2.48
2010-11-24,2.5949
2010-11-25,2.6648
